Noms dels nadons. 2016;;;;
Catalunya;;;;
Font: Idescat, a partir de l'estadística de naixements.;;;;
Nota: el ‰ ha estat calculat sobre el total de nascuts vius a l'any i en el lloc de residència seleccionats.;;;;
Nota: Només es mostren els noms de freqüència igual o superior a 4.;;;;
Institut d'Estadística de Catalunya;;;;
http://www.idescat.cat/nadons/;;;;
Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
233;H;PEDRO;48;0,7
233;H;TONI;48;0,7
240;D;ESTEL;47;0,68
240;D;JANNAT;47;0,68
242;D;ASTRID;46;0,67
242;H;YERAY;46;0,67
242;H;ÀYOUB/ÁYOUB;46;0,67
245;D;ADA;45;0,66
245;H;AYMAN;45;0,66
245;H;ENRIC;45;0,66
245;D;YASMINA;45;0,66
249;H;CRISTIÁN;44;0,64
249;H;IBRAHIM;44;0,64
251;H;LUIS;43;0,63
251;H;SAÜL/SAÚL;43;0,63
253;H;ADAY;42;0,61
253;D;ELNA;42;0,61
253;D;LEIA;42;0,61
253;D;NAIARA;42;0,61
253;D;NINA;42;0,61
253;H;OT;42;0,61
253;D;ÀFRICA/ÁFRICA;42;0,61
260;H;ALEXANDER;41;0,6
260;H;ANDREU;41;0,6
260;D;ARAN/ARÁN;41;0,6
260;D;AURA;41;0,6
260;H;GUIU;41;0,6
260;D;ISABELLA;41;0,6
260;H;KEVIN;41;0,6
260;H;LEONARDO;41;0,6
268;H;BILAL;40;0,58
268;H;GUILLERMO;40;0,58
268;D;MAYA;40;0,58
268;D;MÍRIAM/MIRIAM;40;0,58
268;D;RIM;40;0,58
273;D;DIANA;39;0,57
273;D;DINA;39;0,57
273;H;EIDEN;39;0,57
273;H;FRANCISCO;39;0,57
273;D;LUNA;39;0,57
273;H;WALID;39;0,57
279;H;ANDER;38;0,55
279;D;AZAHARA;38;0,55
279;H;ELIAN/ELIÁN;38;0,55
279;D;GABRIELA;38;0,55
279;D;HAFSA;38;0,55
279;H;IBAI;38;0,55
279;D;MARYAM;38;0,55
279;H;MARÇAL;38;0,55
279;H;NIZAR;38;0,55
288;H;YASSIN;37;0,54
288;D;ÀNGELA/ÁNGELA;37;0,54
290;H;BRU;36;0,52
290;H;ELOY;36;0,52
290;H;LUKA;36;0,52
290;D;RUTH;36;0,52
290;H;SAMI;36;0,52
290;H;SANTIAGO;36;0,52
296;D;AINET;35;0,51
296;H;AMIN;35;0,51
296;D;AMINA;35;0,51
296;H;MAGÍ;35;0,51
296;D;NOOR;35;0,51
296;D;THAÍS/THAIS;35;0,51
296;D;UMA;35;0,51
303;D;MANUELA;34;0,5
303;H;MOHAMED AMIN;34;0,5
303;H;YAGO;34;0,5
306;D;CÈLIA/CELIA;33;0,48
306;H;JOFRE;33;0,48
306;D;LUA;33;0,48
306;H;MATÍAS;33;0,48
306;D;RITAJ;33;0,48
